BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/2024 16:11:43:703 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,memory-lifetime,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,initial,mean-incum,mean-oat,mean-almond,mean-soy
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2300000,2000,100,100,100
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,1,968,13,9,10,43.1380856848,6.45612644346639,4613323.7,2300000,2000,100,100,100
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,2,928,29,14,29,41.9860146758968,6.27856001601576,6954254.19999998,2300000,1862.57260630113,159.49584514132,159.19557873706,159.66646982049
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,3,873,65,35,27,40.5192829040165,6.0542380587043,9320295.94999992,2300000,1755.38283889534,204.187471947125,204.745067652881,201.726371504658
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2300000,2000,100,100,100
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,4,838,57,43,62,38.6699735062563,5.77140641613009,11692675.1000001,2300000,1629.10019410119,243.150694892633,247.216130278838,252.912130727337
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,5,801,88,41,70,36.5840306831893,5.45048771627163,14073455.4300003,2300000,1485.88485794569,299.154537219481,296.838521046311,298.902413788514
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,1,971,8,8,13,43.1762701676126,6.46200383849484,4612603.5,2300000,2000,100,100,100
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,6,773,88,40,99,34.3892211702754,5.11810071623107,16441636.6000001,2300000,1345.47094914269,337.456407211563,340.686705112993,344.567108532756
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,2,940,22,17,21,42.3616478672039,6.33613804998515,6944987.79999998,2300000,1890.95516325427,148.146017271099,146.855667481848,146.427451992784
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,7,725,128,46,101,31.0081773221291,4.60182934659886,18791311.7099997,2300000,1127.16288365288,409.18397427964,407.360717091103,405.967534976378
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,3,890,43,27,40,40.8892304936578,6.1096432006398,9304161.19999992,2300000,1781.87020012085,192.219110882625,191.526916970867,193.557172025654
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2300000,2000,100,100,100
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,4,857,53,40,50,39.338351170733,5.87357872202074,11667791.8300001,2300000,1677.19457996473,227.688312919793,228.84453167548,229.903205439998
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,8,632,149,63,156,25.3374656436069,3.73819867613075,21095657.4899996,2300000,766.757866995127,510.988707962385,510.877367898868,515.72183714362
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,5,816,73,39,72,37.1884799747846,5.5427602920969,14042399.3500002,2300000,1528.42751210958,282.710542294074,280.092626419146,283.376839177199
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,1,968,12,6,14,43.1383093010774,6.45610810220496,4613323.7,2300000,2000,100,100,100
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,9,513,175,80,232,22.2628291014383,3.26873950779924,23376462.9199997,2300000,570.618042979737,571.875091457118,567.646284107911,570.666011455234
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,6,769,101,46,84,35.0877453046145,5.22405020003596,16404806.4400001,2300000,1393.95594932548,322.296732797186,322.176498487682,323.977909389652
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,2,935,32,14,19,42.1541953029358,6.30512865501752,6950105.89999998,2300000,1875.8519028,153.925405999078,154.29463420907,152.710256991854
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,10,473,188,97,242,21.6326354136098,3.1773434195548,25594345.1500003,2300000,554.923140829056,561.562092979403,555.140764306753,546.256231884788
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,7,708,119,44,129,31.6018597787063,4.69268470305875,18747372.1799996,2300000,1169.18404764806,388.639625906694,389.528340946421,395.213725498827
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,3,869,42,38,51,40.7433439412726,6.08914218738287,9311343.29999992,2300000,1772.26171643258,193.667386514795,197.089279837969,198.219017214662
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,11,468,202,88,242,21.8015666249755,3.20228509921171,27817717.4100012,2300000,563.50699603327,558.248340351696,552.750106258381,548.866817356651
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,12,423,214,111,252,20.7027711021831,3.04104175976117,29945967.76,2300000,528.884952258168,536.454054601113,533.598590253453,529.312752887265
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,4,848,63,32,57,39.3608224084171,5.87553663454841,11673929.6300001,2300000,1678.37646154432,229.370009469937,226.87603444701,227.963824538734
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,8,635,145,60,160,26.9040449888143,3.97871255764524,21044769.6999996,2300000,874.672311376599,474.507657322607,474.340410914854,473.877140385941
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2300000,2000,100,100,100
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,5,805,60,52,83,37.0341003065762,5.52177894223427,14047484.6100002,2300000,1519.85044881185,282.371644736077,284.966716101988,286.366170350081
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,13,398,252,106,244,20.6034826186582,3.02334816502585,32048859.8099998,2300000,530.332568683597,531.238592070115,520.745109471239,520.57577977505
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,9,501,210,91,198,23.4525013229192,3.45176107721855,23322284.2599998,2300000,652.064382742775,545.040140198359,541.356038990735,539.053998068132
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,14,361,260,114,265,20.1194559396719,2.95220872420998,34114734.0100014,2300000,512.999322677181,520.794731618747,513.903369535737,518.176776168335
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,1,975,6,10,9,43.1571780845117,6.45914978371021,4612963.6,2300000,2000,100,100,100
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,10,486,208,98,208,21.7198491899237,3.19216787227169,25530713.5300005,2300000,564.595869979,548.104991588385,547.919467341672,547.808941090943
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,6,764,98,60,78,34.740458782987,5.16848607392107,16410525.4800001,2300000,1369.29924664482,334.025071352964,328.397636392632,331.318915609588
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,11,452,232,113,203,21.6245005275448,3.17461989503835,27752405.0300014,2300000,551.831533028436,559.987879669691,554.689897356371,555.182189945502
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,15,372,284,115,229,19.9688507433715,2.93130006011427,36152938.9800029,2300000,514.458102892799,512.709329947588,505.350526311779,505.687010847834
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,2,940,17,24,19,42.3139143709026,6.32872162533919,6946130.49999998,2300000,1887.38680123085,149.277712731609,148.103851118611,148.398534918933
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,7,691,134,55,120,30.9494417144633,4.59083526451915,18754845.5999996,2300000,1123.77850211847,405.235097957216,402.782124433412,412.524395490901
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,12,452,197,128,223,20.7293478845071,3.04463083110745,29874786.6200002,2300000,532.259208162607,529.52189284276,528.370919207073,532.22956978756
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,16,329,259,125,287,19.593180283879,2.87597879500116,38159644.4000036,2300000,501.674131097707,499.469248876836,497.385147038281,508.176892987178
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,8,616,182,67,135,25.4119093287257,3.74966308024252,21052716.4499995,2300000,774.265423317013,507.883353163069,506.341618222644,509.380455297275
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,13,423,231,124,222,20.5195437127148,3.00669278443371,31979614.22,2300000,521.790235465218,535.242238270729,519.656055229109,528.139071034943
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,3,900,35,28,37,41.0033919262527,6.12646247617715,9303050.19999993,2300000,1790.04305782133,190.093735651166,187.517023010841,189.265883516666
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,17,322,291,103,284,19.1916024386558,2.81577974216666,40115551.7400022,2300000,494.700419579156,491.990767376459,482.678929035676,486.537224008707
