BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experimentCamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2024 13:28:51:278 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,memory-lifetime,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,mean-incum,mean-oat,mean-almond,mean-soy
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,1,977,7,11,5,43.1785229838779,1304.91469099953,4612603.5,2000,100,100,100
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,2,941,16,22,21,42.4022014663994,1278.35514503297,6943782.69999999,1894.00314787028,145.897167779188,145.024317670519,146.254566680012
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,3,896,37,29,38,41.0393763756989,1232.0714995323,9300342.54999993,1792.39208527429,189.527469748479,186.246714659351,188.39358031788
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,4,879,44,26,51,39.5692180691136,1184.54073031272,11659668.2700001,1693.85926417973,221.410887886077,220.995573301278,223.059994632916
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,5,819,50,60,71,37.2473087783418,1108.72092982534,14030279.1600002,1534.9468683814,278.143483318049,278.575873419195,278.94466488136
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,6,781,67,54,98,35.1346513247455,1036.65459769875,16390432.6300001,1395.09020975113,326.170295181699,315.559922457256,323.333042609916
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,7,709,118,62,111,31.0533408218956,905.195521371748,18734208.1299996,1130.31558236058,410.326011552765,400.184537192071,402.949368894583
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,8,319,43,589,49,24.2620565470278,725.464323262142,21031726.7599995,730.758946518239,490.130686448754,586.86992630828,489.759070724725
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,9,115,41,147,697,22.9462516670894,592.869730695549,23307375.0399998,576.609585344174,555.384296579142,472.891925566284,670.762472510399
2,8,0.6,8,0,0,8,-1,1,0.9,5,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,10,184,50,475,291,21.8615400670096,632.435945076665,25527130.4000004,584.638216498967,554.361025776069,578.737236179007,502.018881545957
9,8,0.6,8,0,0.4,8,-1,0.8,0.9,5,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,11,242,53,50,655,22.6540314736772,579.735783957749,27748496.6600013,572.991798570949,554.582467262228,445.767779286766,648.024214880056
11,8,0.6,8,0,0.4,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,12,114,38,604,244,20.2022123396719,596.988100254741,29885384.3500004,520.155593083027,534.622981050399,598.504981636833,483.604134229743
10,8,0.6,8,0,0.4,8,-1,1,0.9,5,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
3,8,0.6,8,0,0,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,13,203,51,127,619,21.3456354832982,543.772605187297,31991610.4500001,532.969423376563,531.495661368863,423.467354566567,618.293660688008
9,8,0.6,8,0,0.4,8,-1,0.8,0.9,5,1,1,1,1,1,1,1,958,15,6,21,42.9588992853026,1297.41401701599,4616924.7,2000,100,100,100
2,8,0.6,8,0,0,8,-1,1,0.9,5,1,1,1,1,1,1,1,968,13,9,10,43.0652697869457,1301.12110252413,4614764.1,2000,100,100,100
12,8,0.6,8,0,0.4,8,-0.6,1,0.9,5,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,14,175,52,621,152,19.7487269401332,588.205716924993,34056348.5000018,520.201150279735,525.272515939583,579.580704206131,439.683679574553
3,8,0.6,8,0,0,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,1,975,7,6,12,43.1398378313716,1303.61822067001,4613323.7,2000,100,100,100
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,15,125,71,145,659,20.4249625979086,517.885603778657,36092691.8900034,500.337451052022,519.595215913966,412.823800240242,603.586922793769
11,8,0.6,8,0,0.4,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,1,966,15,8,11,43.065905773495,1301.20491968529,4614764.1,2000,100,100,100
10,8,0.6,8,0,0.4,8,-1,1,0.9,5,1,1,1,1,1,1,1,975,10,12,3,43.1404518050787,1303.78359992034,4613323.7,2000,100,100,100
9,8,0.6,8,0,0.4,8,-1,0.8,0.9,5,1,1,1,1,1,1,2,922,39,19,20,41.8615219993001,1261.40028493879,6960687.89999998,1853.96048635481,163.352304536188,164.774603978393,161.675805130612
