BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experimentCampGrid3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2024 14:46:23:017 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,memory-lifetime,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,mean-incum,mean-oat,mean-almond,mean-soy
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
2,8,5,0,8,0,0,0,-1,1,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,1,983,10,3,4,43.4253488522586,1313.12723626423,4607562.1,2000,100,100,100
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
4,8,5,0,8,0,0,0,-0.6,1,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
3,8,5,0,8,0,0,0,-0.6,0.6,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
12,8,5,0,8,0,0.4,0,-0.6,1,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,2,956,13,14,17,42.8299263651488,1293.33228803702,6929083.59999999,1926.91208875285,130.670389735218,131.824739767673,132.114281744257
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,1,978,14,4,4,43.3041739128994,1309.11331671793,4610082.8,2000,100,100,100
3,8,5,0,8,0,0,0,-0.6,0.6,0.9,1,1,1,1,1,1,1,987,7,3,3,43.4589794486019,1314.4124386011,4606841.9,2000,100,100,100
11,8,5,0,8,0,0.4,0,-0.6,0.6,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2000,100,100,100
4,8,5,0,8,0,0,0,-0.6,1,0.9,1,1,1,1,1,1,1,983,4,5,8,43.3540401617731,1310.60668254493,4609002.5,2000,100,100,100
2,8,5,0,8,0,0,0,-1,1,0.9,1,1,1,1,1,1,1,977,9,5,9,43.2463610020676,1307.19151652229,4611163.1,2000,100,100,100
12,8,5,0,8,0,0.4,0,-0.6,1,0.9,1,1,1,1,1,1,1,982,7,7,4,43.371616259293,1311.38602186392,4608642.4,2000,100,100,100
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,3,941,22,17,20,42.4519523711949,1280.27006588198,9256432.19999996,1898.90132359837,143.81472179445,142.338336768368,142.294217838816
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,2,960,12,14,14,42.744684583974,1290.80024211621,6933560.79999999,1920.77487830067,132.45977579208,135.096087103857,135.147258803395
4,8,5,0,8,0,0,0,-0.6,1,0.9,1,1,1,1,1,1,2,945,21,13,21,42.563015685321,1283.96930097088,6936393.49999999,1906.37730073338,140.861881561128,139.982729396337,140.169088309152
2,8,5,0,8,0,0,0,-1,1,0.9,1,1,1,1,1,1,2,959,15,12,14,42.7986338447962,1292.42423856658,6933467.19999999,1924.604991615,132.218157602428,133.126000543076,132.354950239492
3,8,5,0,8,0,0,0,-0.6,0.6,0.9,1,1,1,1,1,1,2,955,10,17,18,42.8029255267469,1292.50226763759,6928754.69999999,1925.01273649111,131.418881171113,132.70876125842,132.77242107936
12,8,5,0,8,0,0.4,0,-0.6,1,0.9,1,1,1,1,1,1,2,956,17,12,15,42.723033456855,1289.173059927,6932902.99999999,1918.17527440182,135.717019821637,134.720990027228,135.647315749314
