"BehaviorSpace results (NetLogo 6.3.0)"
"C:\Users\zheng\Downloads\an-abm-of-historic-british-milk-consumption_v1.0.0\code\abm_milk_choice_upload.nlogo"
"my_exp"
"11/16/2024 18:12:43:330 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","network-parameter","memory-lifetime","social-conformity","social-blindness","habit-threshold","cognitive-dissonance-threshold","social-susceptibility","justification","[step]","count turtles with [color = red]","count turtles with [color = green]","count turtles with [color = white]","count turtles with [color = yellow]"
"1","6","3","-0.35","0.35","2","0.43","0.8","0.23","32","725","0","272","3"
"2","6","3","-0.35","0.35","2","0.43","0.8","0.23","32","698","3","286","13"
"4","6","3","-0.35","0.35","2","0.43","0.8","0.23","32","748","5","234","13"
"5","6","3","-0.35","0.35","2","0.43","0.8","0.23","32","693","0","300","7"
"3","6","3","-0.35","0.35","2","0.43","0.8","0.23","32","735","0","263","2"
"6","6","3","-0.35","0.35","2","0.43","0.8","0.32","32","734","0","261","5"
"10","6","3","-0.35","0.35","2","0.43","0.8","0.32","32","771","0","225","4"
"8","6","3","-0.35","0.35","2","0.43","0.8","0.32","32","738","4","245","13"
"7","6","3","-0.35","0.35","2","0.43","0.8","0.32","32","670","0","324","6"
"9","6","3","-0.35","0.35","2","0.43","0.8","0.32","32","727","0","271","2"
"11","6","3","-0.35","0.35","2","0.43","0.5","0.23","32","767","6","217","10"
"12","6","3","-0.35","0.35","2","0.43","0.5","0.23","32","707","2","282","9"
"15","6","3","-0.35","0.35","2","0.43","0.5","0.23","32","675","1","320","4"
"14","6","3","-0.35","0.35","2","0.43","0.5","0.23","32","848","0","150","2"
"13","6","3","-0.35","0.35","2","0.43","0.5","0.23","32","753","0","243","4"
"16","6","3","-0.35","0.35","2","0.43","0.5","0.32","32","779","0","217","4"
"17","6","3","-0.35","0.35","2","0.43","0.5","0.32","32","780","4","205","11"
"18","6","3","-0.35","0.35","2","0.43","0.5","0.32","32","683","3","303","11"
"19","6","3","-0.35","0.35","2","0.43","0.5","0.32","32","695","0","299","6"
"20","6","3","-0.35","0.35","2","0.43","0.5","0.32","32","789","5","196","10"
"21","6","3","-0.35","0.35","2","0.55","0.8","0.23","32","743","2","240","15"
"22","6","3","-0.35","0.35","2","0.55","0.8","0.23","32","734","0","262","4"
"23","6","3","-0.35","0.35","2","0.55","0.8","0.23","32","628","1","357","14"
"25","6","3","-0.35","0.35","2","0.55","0.8","0.23","32","704","2","286","8"
"24","6","3","-0.35","0.35","2","0.55","0.8","0.23","32","660","1","330","9"
"26","6","3","-0.35","0.35","2","0.55","0.8","0.32","32","757","0","239","4"
"27","6","3","-0.35","0.35","2","0.55","0.8","0.32","32","730","0","258","12"
"29","6","3","-0.35","0.35","2","0.55","0.8","0.32","32","736","3","254","7"
"28","6","3","-0.35","0.35","2","0.55","0.8","0.32","32","801","0","194","5"
"30","6","3","-0.35","0.35","2","0.55","0.8","0.32","32","725","1","267","7"
"31","6","3","-0.35","0.35","2","0.55","0.5","0.23","32","752","1","242","5"
"32","6","3","-0.35","0.35","2","0.55","0.5","0.23","32","786","3","204","7"
"33","6","3","-0.35","0.35","2","0.55","0.5","0.23","32","740","0","256","4"
"35","6","3","-0.35","0.35","2","0.55","0.5","0.23","32","757","0","237","6"
"34","6","3","-0.35","0.35","2","0.55","0.5","0.23","32","713","2","274","11"
"36","6","3","-0.35","0.35","2","0.55","0.5","0.32","32","702","2","289","7"
"37","6","3","-0.35","0.35","2","0.55","0.5","0.32","32","768","0","227","5"
"38","6","3","-0.35","0.35","2","0.55","0.5","0.32","32","675","3","309","13"
"39","6","3","-0.35","0.35","2","0.55","0.5","0.32","32","742","0","255","3"
"41","6","3","-0.35","0.35","3","0.43","0.8","0.23","32","667","3","320","10"
"40","6","3","-0.35","0.35","2","0.55","0.5","0.32","32","720","0","278","2"
"42","6","3","-0.35","0.35","3","0.43","0.8","0.23","32","771","0","227","2"
"43","6","3","-0.35","0.35","3","0.43","0.8","0.23","32","679","0","311","10"
"44","6","3","-0.35","0.35","3","0.43","0.8","0.23","32","808","0","191","1"
"45","6","3","-0.35","0.35","3","0.43","0.8","0.23","32","731","2","257","10"
"47","6","3","-0.35","0.35","3","0.43","0.8","0.32","32","711","1","283","5"
"46","6","3","-0.35","0.35","3","0.43","0.8","0.32","32","722","0","275","3"
"48","6","3","-0.35","0.35","3","0.43","0.8","0.32","32","691","0","304","5"
"49","6","3","-0.35","0.35","3","0.43","0.8","0.32","32","637","3","352","8"
"50","6","3","-0.35","0.35","3","0.43","0.8","0.32","32","752","0","244","4"
"52","6","3","-0.35","0.35","3","0.43","0.5","0.23","32","716","1","271","12"
"51","6","3","-0.35","0.35","3","0.43","0.5","0.23","32","684","2","306","8"
"53","6","3","-0.35","0.35","3","0.43","0.5","0.23","32","717","2","275","6"
"54","6","3","-0.35","0.35","3","0.43","0.5","0.23","32","733","0","260","7"
"55","6","3","-0.35","0.35","3","0.43","0.5","0.23","32","750","0","249","1"
"58","6","3","-0.35","0.35","3","0.43","0.5","0.32","32","716","1","277","6"
"56","6","3","-0.35","0.35","3","0.43","0.5","0.32","32","767","1","226","6"
"57","6","3","-0.35","0.35","3","0.43","0.5","0.32","32","665","0","329","6"
"59","6","3","-0.35","0.35","3","0.43","0.5","0.32","32","670","2","321","7"
"60","6","3","-0.35","0.35","3","0.43","0.5","0.32","32","839","0","159","2"
"61","6","3","-0.35","0.35","3","0.55","0.8","0.23","32","756","1","239","4"
"62","6","3","-0.35","0.35","3","0.55","0.8","0.23","32","742","5","238","15"
"64","6","3","-0.35","0.35","3","0.55","0.8","0.23","32","774","0","223","3"
"63","6","3","-0.35","0.35","3","0.55","0.8","0.23","32","707","0","287","6"
"65","6","3","-0.35","0.35","3","0.55","0.8","0.23","32","691","0","305","4"
"66","6","3","-0.35","0.35","3","0.55","0.8","0.32","32","733","0","264","3"
"68","6","3","-0.35","0.35","3","0.55","0.8","0.32","32","810","2","178","10"
"67","6","3","-0.35","0.35","3","0.55","0.8","0.32","32","728","0","270","2"
"69","6","3","-0.35","0.35","3","0.55","0.8","0.32","32","749","0","248","3"
"70","6","3","-0.35","0.35","3","0.55","0.8","0.32","32","678","0","314","8"
"71","6","3","-0.35","0.35","3","0.55","0.5","0.23","32","749","3","237","11"
"74","6","3","-0.35","0.35","3","0.55","0.5","0.23","32","844","2","149","5"
"73","6","3","-0.35","0.35","3","0.55","0.5","0.23","32","733","0","266","1"
"75","6","3","-0.35","0.35","3","0.55","0.5","0.23","32","743","10","233","14"
"72","6","3","-0.35","0.35","3","0.55","0.5","0.23","32","734","2","260","4"
"76","6","3","-0.35","0.35","3","0.55","0.5","0.32","32","770","0","227","3"
"77","6","3","-0.35","0.35","3","0.55","0.5","0.32","32","731","0","261","8"
"78","6","3","-0.35","0.35","3","0.55","0.5","0.32","32","700","1","294","5"
"81","6","3","-0.35","0.4","2","0.43","0.8","0.23","32","720","1","271","8"
"79","6","3","-0.35","0.35","3","0.55","0.5","0.32","32","755","1","239","5"
"80","6","3","-0.35","0.35","3","0.55","0.5","0.32","32","742","1","254","3"
"82","6","3","-0.35","0.4","2","0.43","0.8","0.23","32","723","0","269","8"
"83","6","3","-0.35","0.4","2","0.43","0.8","0.23","32","783","3","207","7"
"86","6","3","-0.35","0.4","2","0.43","0.8","0.32","32","747","1","245","7"
"84","6","3","-0.35","0.4","2","0.43","0.8","0.23","32","696","0","298","6"
"85","6","3","-0.35","0.4","2","0.43","0.8","0.23","32","725","1","268","6"
"87","6","3","-0.35","0.4","2","0.43","0.8","0.32","32","728","2","259","11"
"89","6","3","-0.35","0.4","2","0.43","0.8","0.32","32","749","0","249","2"
"90","6","3","-0.35","0.4","2","0.43","0.8","0.32","32","711","1","281","7"
"88","6","3","-0.35","0.4","2","0.43","0.8","0.32","32","876","0","123","1"
"91","6","3","-0.35","0.4","2","0.43","0.5","0.23","32","720","1","269","10"
"92","6","3","-0.35","0.4","2","0.43","0.5","0.23","32","702","5","276","17"
"93","6","3","-0.35","0.4","2","0.43","0.5","0.23","32","704","1","287","8"
"94","6","3","-0.35","0.4","2","0.43","0.5","0.23","32","701","2","293","4"
"95","6","3","-0.35","0.4","2","0.43","0.5","0.23","32","875","0","122","3"
"96","6","3","-0.35","0.4","2","0.43","0.5","0.32","32","781","2","209","8"
"97","6","3","-0.35","0.4","2","0.43","0.5","0.32","32","782","2","204","12"
"98","6","3","-0.35","0.4","2","0.43","0.5","0.32","32","691","1","301","7"
"100","6","3","-0.35","0.4","2","0.43","0.5","0.32","32","707","4","276","13"
"99","6","3","-0.35","0.4","2","0.43","0.5","0.32","32","707","0","288","5"
"101","6","3","-0.35","0.4","2","0.55","0.8","0.23","32","764","0","229","7"
