"BehaviorSpace results (NetLogo 6.3.0)"
"C:\Users\zheng\Downloads\an-abm-of-historic-british-milk-consumption_v1.0.0\code\abm_milk_choice_upload.nlogo"
"my_exp"
"11/16/2024 18:52:07:278 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","network-parameter","social-conformity","social-blindness","habit-threshold","cognitive-dissonance-threshold","social-susceptibility","justification","[step]","count turtles with [color = red]","count turtles with [color = green]","count turtles with [color = white]","count turtles with [color = yellow]"
"1","6","-0.35","0.35","2","0.43","0.8","0.23","32","675","1","316","8"
"2","6","-0.35","0.35","2","0.43","0.8","0.23","32","784","2","204","10"
"3","6","-0.35","0.35","2","0.43","0.8","0.32","32","806","1","181","12"
"4","6","-0.35","0.35","2","0.43","0.8","0.32","32","782","0","210","8"
"5","6","-0.35","0.35","2","0.43","0.5","0.23","32","786","0","208","6"
"6","6","-0.35","0.35","2","0.43","0.5","0.23","32","679","2","313","6"
"7","6","-0.35","0.35","2","0.43","0.5","0.32","32","755","0","241","4"
"8","6","-0.35","0.35","2","0.43","0.5","0.32","32","688","1","305","6"
"9","6","-0.35","0.35","2","0.55","0.8","0.23","32","739","3","246","12"
"10","6","-0.35","0.35","2","0.55","0.8","0.23","32","666","1","324","9"
"11","6","-0.35","0.35","2","0.55","0.8","0.32","32","695","1","294","10"
"12","6","-0.35","0.35","2","0.55","0.8","0.32","32","746","3","244","7"
"13","6","-0.35","0.35","2","0.55","0.5","0.23","32","705","2","291","2"
"14","6","-0.35","0.35","2","0.55","0.5","0.23","32","703","3","285","9"
"15","6","-0.35","0.35","2","0.55","0.5","0.32","32","733","0","259","8"
"16","6","-0.35","0.35","2","0.55","0.5","0.32","32","757","0","237","6"
"17","6","-0.35","0.35","3","0.43","0.8","0.23","32","728","0","269","3"
"18","6","-0.35","0.35","3","0.43","0.8","0.23","32","717","1","274","8"
"19","6","-0.35","0.35","3","0.43","0.8","0.32","32","729","0","268","3"
"20","6","-0.35","0.35","3","0.43","0.8","0.32","32","698","0","300","2"
"21","6","-0.35","0.35","3","0.43","0.5","0.23","32","774","0","224","2"
"22","6","-0.35","0.35","3","0.43","0.5","0.23","32","757","2","227","14"
"23","6","-0.35","0.35","3","0.43","0.5","0.32","32","736","2","253","9"
"24","6","-0.35","0.35","3","0.43","0.5","0.32","32","758","2","236","4"
"25","6","-0.35","0.35","3","0.55","0.8","0.23","32","798","1","195","6"
"26","6","-0.35","0.35","3","0.55","0.8","0.23","32","745","0","249","6"
"27","6","-0.35","0.35","3","0.55","0.8","0.32","32","703","0","289","8"
"28","6","-0.35","0.35","3","0.55","0.8","0.32","32","729","0","266","5"
"29","6","-0.35","0.35","3","0.55","0.5","0.23","32","709","11","263","17"
"30","6","-0.35","0.35","3","0.55","0.5","0.23","32","735","0","259","6"
"31","6","-0.35","0.35","3","0.55","0.5","0.32","32","720","0","276","4"
"32","6","-0.35","0.35","3","0.55","0.5","0.32","32","708","1","285","6"
"33","6","-0.35","0.4","2","0.43","0.8","0.23","32","769","0","225","6"
