"BehaviorSpace results (NetLogo 6.3.0)"
"C:\Users\zheng\Downloads\an-abm-of-historic-british-milk-consumption_v1.0.0\code\abm_milk_choice_upload.nlogo"
"my_exp"
"11/16/2024 19:04:25:692 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","network-parameter","social-conformity","social-blindness","habit-threshold","cognitive-dissonance-threshold","[step]","count turtles with [color = red]","count turtles with [color = green]","count turtles with [color = white]","count turtles with [color = yellow]"
"1","6","-0.35","0.35","2","0.43","32","717","0","274","9"
"2","6","-0.35","0.35","2","0.43","32","762","0","233","5"
"3","6","-0.35","0.35","2","0.55","32","658","1","331","10"
"4","6","-0.35","0.35","2","0.55","32","805","2","183","10"
"5","6","-0.35","0.35","3","0.43","32","782","1","213","4"
"6","6","-0.35","0.35","3","0.43","32","696","0","301","3"
"7","6","-0.35","0.35","3","0.55","32","703","1","289","7"
"8","6","-0.35","0.35","3","0.55","32","672","4","309","15"
"9","6","-0.35","0.4","2","0.43","32","719","0","279","2"
"10","6","-0.35","0.4","2","0.43","32","664","4","322","10"
"11","6","-0.35","0.4","2","0.55","32","763","0","232","5"
"12","6","-0.35","0.4","2","0.55","32","791","1","206","2"
"13","6","-0.35","0.4","3","0.43","32","746","1","246","7"
"14","6","-0.35","0.4","3","0.43","32","717","0","280","3"
"15","6","-0.35","0.4","3","0.55","32","814","0","181","5"
"16","6","-0.35","0.4","3","0.55","32","788","0","210","2"
"17","6","4","0.35","2","0.43","32","768","0","226","6"
"18","6","4","0.35","2","0.43","32","723","0","270","7"
"19","6","4","0.35","2","0.55","32","907","0","91","2"
"20","6","4","0.35","2","0.55","32","666","3","317","14"
"21","6","4","0.35","3","0.43","32","716","2","274","8"
"22","6","4","0.35","3","0.43","32","719","0","276","5"
"23","6","4","0.35","3","0.55","32","779","0","219","2"
"24","6","4","0.35","3","0.55","32","792","0","205","3"
"25","6","4","0.4","2","0.43","32","748","0","241","11"
"26","6","4","0.4","2","0.43","32","781","0","217","2"
"27","6","4","0.4","2","0.55","32","790","2","202","6"
"28","6","4","0.4","2","0.55","32","732","0","262","6"
"29","6","4","0.4","3","0.43","32","760","0","238","2"
"30","6","4","0.4","3","0.43","32","738","3","249","10"
"31","6","4","0.4","3","0.55","32","746","0","252","2"
"32","6","4","0.4","3","0.55","32","718","0","278","4"
"33","3","-0.35","0.35","2","0.43","32","777","2","212","9"
"34","3","-0.35","0.35","2","0.43","32","847","4","142","7"
"35","3","-0.35","0.35","2","0.55","32","787","6","192","15"
"36","3","-0.35","0.35","2","0.55","32","739","3","249","9"
"37","3","-0.35","0.35","3","0.43","32","801","2","192","5"
"38","3","-0.35","0.35","3","0.43","32","828","0","164","8"
"39","3","-0.35","0.35","3","0.55","32","813","2","180","5"
"40","3","-0.35","0.35","3","0.55","32","772","3","215","10"
"41","3","-0.35","0.4","2","0.43","32","879","1","116","4"
"42","3","-0.35","0.4","2","0.43","32","929","1","68","2"
"43","3","-0.35","0.4","2","0.55","32","778","1","212","9"
"44","3","-0.35","0.4","2","0.55","32","846","1","145","8"
"45","3","-0.35","0.4","3","0.43","32","790","1","205","4"
"46","3","-0.35","0.4","3","0.43","32","800","2","187","11"
"47","3","-0.35","0.4","3","0.55","32","971","0","29","0"
"48","3","-0.35","0.4","3","0.55","32","765","2","225","8"
"49","3","4","0.35","2","0.43","32","849","0","148","3"
"50","3","4","0.35","2","0.43","32","797","3","190","10"
"51","3","4","0.35","2","0.55","32","721","2","269","8"
"52","3","4","0.35","2","0.55","32","911","1","84","4"
"53","3","4","0.35","3","0.43","32","845","6","142","7"
"54","3","4","0.35","3","0.43","32","840","2","151","7"
"55","3","4","0.35","3","0.55","32","792","3","198","7"
"56","3","4","0.35","3","0.55","32","787","2","203","8"
"57","3","4","0.4","2","0.43","32","837","6","147","10"
"58","3","4","0.4","2","0.43","32","864","4","126","6"
